NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,,single_combination,Dose_finding,Design,other_design,more_than_one_drug,n_finding,dose_level,comment_finding,Dose_expansion,n_expansion,toxicity_stopping_rule,comment_expansion,phase2,n_phase2,comment_phase2,,,,,
NCT04086966,PSMA-PET/MRI for Radiation Treatment Planning in Patients With Locally Metastatic Prostate Cancer: A Pilot Study,https://clinicaltrials.gov/study/NCT04086966,COMPLETED,Metastatic Prostate Cancer,DRUG: [68Ga]PSMA-PET/MRI or PET/CT,University of Alabama at Birmingham,,INTERVENTIONAL,,Single ,No,,,,,,,No,,,,No,,,,,,,
NCT04299048,Study to Assess the Safety and Tolerability of Repeated Doses of an Investigational New Drug in Patients With Cancer and Cachexia.,https://clinicaltrials.gov/study/NCT04299048,COMPLETED,Cachexia|Non-Small-Cell Lung Cancer|Pancreatic Cancer|Colorectal Cancer,DRUG: PF-06946860,Pfizer,,INTERVENTIONAL,,Single ,No,,,,,,,Yes,11,,,No,,,,,,,
NCT03502148,Safety and Efficacy Study of PRV111 in Subjects With Oral Squamous Cell Carcinoma,https://clinicaltrials.gov/study/NCT03502148,COMPLETED,Oral Squamous Cell Carcinoma,DRUG: PRV111 (Cisplatin Transmucosal System),Privo Technologies,National Cancer Institute (NCI),INTERVENTIONAL,,Single ,Yes,,,No,10,3,,Yes,21,No,,Yes,21,Same as dose-expansion (title is Phase 1/2),,,,,
NCT03817125,Melanoma Checkpoint and Gut Microbiome Alteration With Microbiome Intervention,https://clinicaltrials.gov/study/NCT03817125,COMPLETED,Metastatic Melanoma,DRUG: Placebo for antibiotic|DRUG: Vancomycin pretreatment|DRUG: Nivolumab|DRUG: Matching Placebo for SER-401|DRUG: SER-401,Parker Institute for Cancer Immunotherapy,"Seres Therapeutics, Inc.",INTERVENTIONAL,,Combination,No,,,,,,,Yes,14,No,"placebo-controlled, triple-blinded",No,,,,,,,
NCT03916744,"A Study of Giredestrant (GDC-9545) in Postmenopausal Women With Stage I-III Operable, Estrogen Receptor-Positive Breast Cancer",https://clinicaltrials.gov/study/NCT03916744,COMPLETED,Breast Cancer,DRUG: Giredestrant|PROCEDURE: Surgery,"Genentech, Inc.",,INTERVENTIONAL,,Single ,Yes,Other,Parallel Assignment,No,75,3,,No,,,,No,,,,,,,
NCT03535727,"A Study of Gemcitabine, Nab-paclitaxel, Capecitabine, Cisplatin, and Irinotecan in Metastatic Pancreatic Cancer",https://clinicaltrials.gov/study/NCT03535727,COMPLETED,"Adenocarcinoma|Pancreatic Neoplasms|Neoplasm, Glandular|Neoplasms|Neoplasms Pancreatic|Digestive System Neoplasm|Endocrine Gland Neoplasms|Digestive System Disease|Pancreatic Diseases|Endocrine System Diseases",DRUG: Nab-paclitaxel|DRUG: Gemcitabine|DRUG: Capecitabine|DRUG: Cisplatin|DRUG: Irinotecan|DRUG: Nab-paclitaxel|DRUG: Gemcitabine|DRUG: Capecitabine|DRUG: Cisplatin|DRUG: Irinotecan,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,,INTERVENTIONAL,,Combination,Yes,3+3,,Yes,48,8,,Yes,48,Yes,,Yes,48,Same as dose-expansion,,,,,
NCT03387020,Ribociclib and Everolimus in Treating Children With Recurrent or Refractory Malignant Brain Tumors,https://clinicaltrials.gov/study/NCT03387020,COMPLETED,"CNS Embryonal Tumor, Not Otherwise Specified|Malignant Glioma|Recurrent Atypical Teratoid/Rhabdoid Tumor|Recurrent Childhood Ependymoma|Recurrent Diffuse Intrinsic Pontine Glioma|Recurrent Medulloblastoma|Refractory Diffuse Intrinsic Pontine Glioma",DRUG: Everolimus|OTHER: Laboratory Biomarker Analysis|OTHER: Pharmacological Study|DRUG: Ribociclib,Pediatric Brain Tumor Consortium,National Cancer Institute (NCI),INTERVENTIONAL,,Combination,Yes,,,Yes,22,6,,No,,,,No,,,,,,,
NCT03648073,[68Ga]DOTATATE-PET/MRI in Hepatocellular Carcinoma,https://clinicaltrials.gov/study/NCT03648073,COMPLETED,Hepatocellular Carcinoma,DRUG: [68Ga]DOTATATE-PET/MRI,University of Alabama at Birmingham,,INTERVENTIONAL,,Single ,No,,,,,,,No,,,,No,,,,,,,
NCT04247282,Anti-PD-L1/TGF-beta Trap (M7824) Alone and in Combination With TriAd Vaccine and N-803 for Resectable Head and Neck Squamous Cell Carcinoma Not Associated With Human Papillomavirus Infection,https://clinicaltrials.gov/study/NCT04247282,COMPLETED,Head and Neck Cancer|Head and Neck Neoplasms,DRUG: M7824|DRUG: N803|BIOLOGICAL: TriAd vaccine,National Cancer Institute (NCI),,INTERVENTIONAL,,Both,Yes,Other,Sequential Assignment,Yes,21,3,,No,,,,No,,,,,,,
NCT04081389,Chemokine Modulation Therapy and Standard Chemotherapy Before Surgery for the Treatment of Early Stage Triple Negative Breast Cancer,https://clinicaltrials.gov/study/NCT04081389,COMPLETED,Anatomic Stage 0 Breast Cancer AJCC v8|Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage IA Breast Cancer AJCC v8|Anatomic Stage IB Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIA Breast Cancer AJCC v8|Anatomic Stage IIB Breast Cancer AJCC v8|Early-Stage Breast Carcinoma|Estrogen Receptor Negative|HER2/Neu Negative|Progesterone Receptor Negative|Prognostic Stage 0 Breast Cancer AJCC v8|Prognostic Stage I Breast Cancer AJCC v8|Prognostic Stage IA Breast Cancer AJCC v8|Prognostic Stage IB Breast Cancer AJCC v8|Prognostic Stage II Breast Cancer AJCC v8|Prognostic Stage IIA Breast Cancer AJCC v8|Prognostic Stage IIB Breast Cancer AJCC v8|Triple-Negative Breast Carcinoma,DRUG: Celecoxib|DRUG: Cyclophosphamide|DRUG: Doxorubicin|DRUG: Doxorubicin Hydrochloride|DRUG: Paclitaxel|BIOLOGICAL: Recombinant Interferon Alfa-2b|DRUG: Rintatolimod,Roswell Park Cancer Institute,National Center for Advancing Translational Sciences (NCATS),INTERVENTIONAL,,Combination,Yes,,,Yes,9,,,Yes,9,No,,,,,,,,,
NCT03439462,Nab-Sirolimus in Combination With FOLFOX & BEV as 1st Line Therapy in Patients With Advanced or Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT03439462,COMPLETED,Colorectal Cancer Metastatic,DRUG: nab-sirolimus,"Aadi Bioscience, Inc.",,INTERVENTIONAL,,Combination,,,,Yes,60,,,Yes,60,No,,,,,,,,,
NCT03439280,"A Study to Investigate the Safety, Tolerability, Efficacy, Pharmacokinetics, and Immunogenicity of TAK-079 Administered Subcutaneously as a Single Agent in Participants With Relapsed/Refractory (r/r) Multiple Myeloma (MM)",https://clinicaltrials.gov/study/NCT03439280,COMPLETED,Relapsed/Refractory|Multiple Myeloma,DRUG: Mezagitamab|DRUG: Pomalidomide|DRUG: Dexamethasone,"Millennium Pharmaceuticals, Inc.",,INTERVENTIONAL,,Both,Yes,,,No,50,6,,Yes,50,No,,Yes,50,Same as dose-expansion,,,,,
NCT04607291,Health Service Intervention for the Improvement of Access and Adherence to Colorectal Cancer Screening,https://clinicaltrials.gov/study/NCT04607291,COMPLETED,Colorectal Carcinoma,OTHER: Community Health Service|OTHER: Survey Administration,Roswell Park Cancer Institute,National Cancer Institute (NCI),INTERVENTIONAL,,None,No,,,,,,,No,,,,No,,,,,,,
NCT04542291,Targeting Pancreatic Cancer With Sodium Glucose Transporter 2 (SGLT2) Inhibition,https://clinicaltrials.gov/study/NCT04542291,COMPLETED,Pancreas Cancer|Pancreatic Cancer|Cancer of the Pancreas,DRUG: Dapagliflozin|DEVICE: BIOSENSE meters,Washington University School of Medicine,National Institutes of Health (NIH)|National Cancer Institute (NCI),INTERVENTIONAL,,Single ,Yes,,,No,15,2,,No,,,,No,,,,,,,
NCT04631029,"Testing the Addition of an Anti-cancer Drug, Entinostat, to the Usual Chemotherapy and Immunotherapy Treatment (Atezolizumab, Carboplatin and Etoposide) for Previously Untreated Aggressive Lung Cancer That Has Spread",https://clinicaltrials.gov/study/NCT04631029,COMPLETED,Extensive Stage Lung Small Cell Carcinoma|Malignant Solid Neoplasm|Metastatic Malignant Neoplasm in the Brain,BIOLOGICAL: Atezolizumab|DRUG: Carboplatin|DRUG: Entinostat|DRUG: Etoposide,National Cancer Institute (NCI),,INTERVENTIONAL,,Combination,Yes,BOIN,,No,3,,,No,,,,No,,,,,,,
NCT03455829,"G1T38, a CDK 4/6 Inhibitor, in Combination With Osimertinib in EGFR-Mutant Non-Small Cell Lung Cancer",https://clinicaltrials.gov/study/NCT03455829,COMPLETED,"Carcinoma, Non-Small-Cell Lung|Lung Cancer|Non-small Cell Lung Cancer",DRUG: G1T38|DRUG: Osimertinib,"G1 Therapeutics, Inc.",,INTERVENTIONAL,,Combination,Yes,Other,Parallel Assignment,,30,5,,Yes,114,No,was not conducted,No,,,,,,,
NCT03770260,Ixazomib and Pevonedistat in Treating Patients With Multiple Myeloma That Has Come Back or Does Not Respond to Treatment,https://clinicaltrials.gov/study/NCT03770260,COMPLETED,Recurrent Multiple Myeloma|Refractory Multiple Myeloma,DRUG: Ixazomib Citrate|DRUG: Pevonedistat,National Cancer Institute (NCI),,INTERVENTIONAL,,Combination,Yes,,,No,8,,,Yes,8,No,,,,,,,,,
NCT03749460,Nivolumab and Ipilimumab and Stereotactic Body Radiation Therapy in Treating Patients With Salivary Gland Cancers,https://clinicaltrials.gov/study/NCT03749460,COMPLETED,Metastatic Malignant Neoplasm in the Bone|Metastatic Malignant Neoplasm in the Lung|Salivary Gland Carcinoma|Stage IV Major Salivary Gland Cancer AJCC v8|Stage IVA Major Salivary Gland Cancer AJCC v8|Stage IVB Major Salivary Gland Cancer AJCC v8|Stage IVC Major Salivary Gland Cancer AJCC v8,BIOLOGICAL: Nivolumab|BIOLOGICAL: Ipilimumab|RADIATION: Stereotactic Body Radiation Therapy,University of Washington,,INTERVENTIONAL,,Combination,No,,,,,,,Yes,20,No,,Yes,20,Same as dose-expansion,,,,,
NCT04185220,Phase I Study of Recombinant Human IL-15 (rhIL-15) and Mogamulizumab for People With Refractory or Relapsed Adult T-Cell Leukemia and Mycosis Fungoides/Sezary Syndrome,https://clinicaltrials.gov/study/NCT04185220,COMPLETED,Adult T-Cell Lymphoma/Leukemia|Sezary Syndrome|Mycosis Fungoides,DRUG: Recombinant human Interleukin-15 (rhIL-15)|BIOLOGICAL: Mogamulizumab,National Cancer Institute (NCI),,INTERVENTIONAL,,Combination,Yes,3+3,,No,6,2,,Yes,6,No,,No,,,,,,,
NCT03558139,Study of Magrolimab (Hu5F9-G4) in Combination With Avelumab in Solid Tumor Participants and Checkpoint-Inhibitor-Naive Ovarian Cancer Participants Who Progress Within 6 Months of Prior Platinum Chemotherapy,https://clinicaltrials.gov/study/NCT03558139,COMPLETED,Ovarian Cancer,DRUG: Magrolimab|DRUG: Avelumab,Gilead Sciences,"Merck KGaA, Darmstadt, Germany",INTERVENTIONAL,,Combination,Yes,Other,Sequential Assignment,Yes,34,3,,Yes,34,No,,No,,,,,,,
NCT03315039,Study of Liposomal Annamycin for the Treatment of Subjects With Acute Myeloid Leukemia (AML),https://clinicaltrials.gov/study/NCT03315039,COMPLETED,"Leukemia, Myeloid, Acute",DRUG: Liposomal Annamycin,"Moleculin Biotech, Inc.",,INTERVENTIONAL,,Single ,Yes,Other,Sequential Assignment,No,7,2,,,,,,,,,,,,,
NCT04208958,Study of VE800 and Nivolumab in Patients With Selected Types of Advanced or Metastatic Cancer,https://clinicaltrials.gov/study/NCT04208958,COMPLETED,Metastatic Cancer|Melanoma|Gastric Cancer|Gastroesophageal Junction Adenocarcinoma|Colorectal Cancer,BIOLOGICAL: VE800|DRUG: Nivolumab|DRUG: Vancomycin Oral Capsule,"Vedanta Biosciences, Inc.",Bristol-Myers Squibb,INTERVENTIONAL,,Combination,Yes,,,Yes,56,,,Yes,56,,,Yes,56,,,,,,
